CustomerID,Age,Tenure,Contract,InternetService,TechSupport,PaperlessBilling,MonthlyCharges,TotalCharges,Churn
CUST-1000,56,70,Month-to-month,No,No,No,82.96,5805.42,No
CUST-1001,69,27,Month-to-month,Fiber optic,No,Yes,32.45,878.21,Yes
CUST-1002,46,9,Month-to-month,Fiber optic,No,No,31.95,282.97,Yes
CUST-1003,32,62,Month-to-month,No,Yes,No,107.26,6642.78,No
CUST-1004,60,37,One year,Fiber optic,No,No,84.31,3110.99,Yes
CUST-1005,25,51,Month-to-month,DSL,No,No,23.7,1217.51,No
CUST-1006,38,44,Month-to-month,Fiber optic,No internet,No,55.89,2457.49,Yes
CUST-1007,56,24,Month-to-month,DSL,No internet,Yes,59.02,1418.1,Yes
CUST-1008,36,59,Month-to-month,DSL,No,No,86.96,5139.02,No
CUST-1009,40,32,Month-to-month,Fiber optic,No,Yes,42.58,1354.21,No
CUST-1010,28,52,One year,DSL,No,Yes,36.59,1910.21,No
CUST-1011,28,62,One year,Fiber optic,Yes,No,27.28,1692.39,No
CUST-1012,41,58,Month-to-month,DSL,No internet,Yes,58.55,3389.2,Yes
CUST-1013,53,52,Two year,No,No internet,Yes,81.96,4260.15,No
CUST-1014,57,12,One year,DSL,No,Yes,25.24,308.43,Yes
CUST-1015,41,39,Month-to-month,No,No,Yes,102.37,3992.04,No
CUST-1016,20,2,Two year,Fiber optic,Yes,No,59.81,129.33,No
CUST-1017,39,3,Two year,DSL,No,Yes,41.58,122.27,Yes
CUST-1018,19,56,Month-to-month,Fiber optic,Yes,No,28.45,1598.19,No
CUST-1019,41,59,Month-to-month,No,No internet,Yes,36.46,2149.0,No
CUST-1020,61,2,Two year,Fiber optic,Yes,No,104.12,214.82,Yes
CUST-1021,47,2,One year,DSL,No,Yes,77.44,156.26,Yes
CUST-1022,55,54,Month-to-month,Fiber optic,No internet,Yes,66.5,3582.27,No
CUST-1023,19,1,One year,Fiber optic,No,No,79.14,69.88,Yes
CUST-1024,38,19,Two year,Fiber optic,Yes,No,59.21,1117.67,No
CUST-1025,50,2,One year,Fiber optic,Yes,Yes,85.7,161.67,No
CUST-1026,29,53,One year,Fiber optic,Yes,Yes,24.29,1278.88,No
CUST-1027,39,44,Two year,DSL,No,Yes,70.94,3125.19,No
CUST-1028,61,32,Month-to-month,Fiber optic,Yes,Yes,34.28,1097.65,Yes
CUST-1029,42,70,Month-to-month,Fiber optic,No,No,30.81,2161.7,No
CUST-1030,66,32,One year,DSL,No internet,Yes,50.77,1632.9,No
CUST-1031,44,68,Two year,No,Yes,Yes,28.26,1923.38,No
CUST-1032,59,55,Month-to-month,Fiber optic,No internet,Yes,28.47,1570.37,No
CUST-1033,45,56,One year,Fiber optic,No internet,Yes,48.03,2694.82,No
CUST-1034,33,17,One year,Fiber optic,Yes,Yes,108.16,1836.28,Yes
CUST-1035,32,38,Month-to-month,Fiber optic,No internet,Yes,35.78,1354.46,No
CUST-1036,64,24,One year,Fiber optic,No,Yes,21.54,511.06,No
CUST-1037,68,69,Two year,Fiber optic,No internet,Yes,88.7,6115.33,Yes
CUST-1038,61,70,One year,DSL,No,No,92.62,6478.89,Yes
CUST-1039,69,11,Month-to-month,Fiber optic,No,Yes,51.17,557.01,No
CUST-1040,20,16,Month-to-month,Fiber optic,No,No,61.82,996.68,Yes
CUST-1041,54,59,One year,Fiber optic,No internet,Yes,78.48,4635.46,No
CUST-1042,68,70,Month-to-month,DSL,No,No,24.33,1694.04,No
CUST-1043,24,3,Month-to-month,DSL,No,No,105.42,311.63,Yes
CUST-1044,38,20,Month-to-month,DSL,No internet,No,99.8,1986.44,Yes
CUST-1045,26,59,Month-to-month,DSL,Yes,No,43.48,2565.28,No
CUST-1046,56,36,Month-to-month,Fiber optic,Yes,Yes,21.38,769.2,No
CUST-1047,35,19,Month-to-month,DSL,Yes,Yes,104.01,1982.82,Yes
CUST-1048,21,67,Month-to-month,Fiber optic,No,Yes,65.09,4357.19,Yes
CUST-1049,42,19,Month-to-month,Fiber optic,Yes,Yes,68.54,1308.59,No
CUST-1050,31,20,One year,Fiber optic,No internet,Yes,81.56,1640.56,Yes
CUST-1051,67,71,One year,Fiber optic,Yes,Yes,75.43,5347.3,No
CUST-1052,26,52,Month-to-month,Fiber optic,No,No,104.95,5463.24,No
CUST-1053,43,33,Two year,Fiber optic,Yes,Yes,104.98,3466.14,No
CUST-1054,19,40,Month-to-month,Fiber optic,No internet,No,98.05,3921.6,Yes
CUST-1055,37,39,One year,DSL,No internet,No,77.28,3012.33,Yes
CUST-1056,45,1,One year,No,No,No,92.09,97.78,No
CUST-1057,64,11,Two year,DSL,No internet,Yes,80.95,893.24,No
CUST-1058,24,57,One year,DSL,Yes,Yes,71.6,4087.3,No
CUST-1059,61,50,One year,Fiber optic,No,Yes,31.57,1586.56,No
CUST-1060,25,23,One year,DSL,Yes,Yes,93.01,2141.58,Yes
CUST-1061,64,31,Month-to-month,Fiber optic,No internet,No,93.86,2919.27,Yes
CUST-1062,52,42,Month-to-month,Fiber optic,Yes,Yes,76.33,3208.02,No
CUST-1063,31,7,One year,No,No,No,93.84,659.61,Yes
CUST-1064,34,16,Month-to-month,Fiber optic,No,Yes,78.63,1259.18,Yes
CUST-1065,53,60,One year,Fiber optic,Yes,No,38.6,2307.82,No
CUST-1066,67,2,Month-to-month,No,Yes,No,44.66,93.85,Yes
CUST-1067,57,1,Month-to-month,DSL,Yes,Yes,39.31,40.26,Yes
CUST-1068,21,48,Month-to-month,No,No,Yes,53.95,2588.62,Yes
CUST-1069,19,12,Month-to-month,DSL,No,Yes,23.51,290.33,Yes
CUST-1070,23,69,One year,Fiber optic,Yes,Yes,75.64,5215.12,No
CUST-1071,59,37,Month-to-month,DSL,No,Yes,50.29,1861.2,Yes
CUST-1072,21,32,Month-to-month,Fiber optic,Yes,Yes,79.02,2532.59,Yes
CUST-1073,46,9,Month-to-month,DSL,No,Yes,54.69,498.14,Yes
CUST-1074,35,19,Month-to-month,Fiber optic,Yes,Yes,81.35,1544.84,Yes
CUST-1075,43,48,One year,Fiber optic,Yes,Yes,50.66,2438.52,No
CUST-1076,61,3,Month-to-month,No,Yes,No,43.46,135.76,Yes
CUST-1077,51,20,One year,DSL,No,Yes,64.64,1284.12,No
CUST-1078,27,24,One year,Fiber optic,No,No,82.36,1967.56,Yes
CUST-1079,53,54,One year,Fiber optic,No,Yes,51.35,2775.32,No
CUST-1080,31,33,One year,DSL,Yes,Yes,104.3,3438.85,Yes
CUST-1081,48,24,Two year,DSL,No,No,23.53,558.9,Yes
CUST-1082,65,36,Two year,Fiber optic,No,Yes,57.62,2075.91,Yes
CUST-1083,32,38,Month-to-month,Fiber optic,Yes,Yes,107.08,4065.87,Yes
CUST-1084,25,25,Month-to-month,Fiber optic,No,Yes,69.32,1733.75,Yes
CUST-1085,31,18,Month-to-month,Fiber optic,No internet,Yes,58.11,1045.18,Yes
CUST-1086,40,66,Month-to-month,DSL,Yes,Yes,71.17,4698.92,No
CUST-1087,57,54,One year,DSL,No,Yes,71.83,3876.83,No
CUST-1088,38,35,Two year,DSL,No,No,85.85,3008.7,Yes
CUST-1089,33,61,Month-to-month,No,No,Yes,31.49,1914.49,No
CUST-1090,62,41,Month-to-month,DSL,Yes,Yes,42.5,1746.43,No
CUST-1091,35,33,Month-to-month,DSL,Yes,Yes,72.25,2382.48,No
