HouseID,SquareFeet,Bedrooms,Bathrooms,YearBuilt,GarageCars,Neighborhood,SalePrice
H-500,1342,2,2.0,2020,1,Eastside,368700.0
H-501,1645,3,3.0,1995,2,Suburbs,448500.0
H-502,2481,4,1.0,1999,3,Downtown,614300.0
H-503,3836,3,2.0,1976,2,Westside,727800.0
H-504,2651,3,2.0,1989,0,Downtown,602900.0
H-505,3294,1,2.5,1968,2,Westside,628100.0
H-506,1189,5,3.5,1992,0,Westside,422600.0
H-507,3519,4,2.0,2015,1,Suburbs,740500.0
H-508,2684,2,2.5,2011,0,Suburbs,592500.0
H-509,842,5,1.5,1984,2,Downtown,367300.0
H-510,1053,3,2.0,1973,2,Westside,390600.0
H-511,4001,3,2.0,1970,1,Downtown,782400.0
H-512,1883,3,3.5,2012,1,Eastside,515200.0
H-513,3510,4,2.5,1994,2,Downtown,761900.0
H-514,3314,3,2.0,2000,1,Northhills,697300.0
H-515,3134,2,1.5,2018,1,Downtown,713200.0
H-516,3858,3,1.5,1973,2,Northhills,744400.0
H-517,2340,4,1.5,1989,2,Northhills,562000.0
H-518,2753,2,2.0,2000,0,Northhills,601900.0
H-519,3625,3,3.0,1963,0,Eastside,658100.0
H-520,3192,3,2.0,2018,1,Downtown,687000.0
H-521,1441,3,2.0,1963,3,Downtown,433400.0
H-522,3229,3,1.5,1987,2,Eastside,658400.0
H-523,1489,4,3.0,1967,2,Westside,426000.0
H-524,2076,2,2.5,1961,1,Suburbs,461300.0
H-525,2750,2,1.0,2000,2,Downtown,628900.0
H-526,1879,2,2.5,2020,0,Suburbs,444400.0
H-527,2286,4,2.0,2005,2,Eastside,535400.0
H-528,1256,3,1.0,1981,3,Westside,390400.0
H-529,1782,2,2.0,2000,2,Westside,483700.0
H-530,2930,4,2.0,2015,3,Westside,698700.0
H-531,1922,4,1.5,2022,2,Eastside,496100.0
H-532,948,4,3.0,2022,1,Northhills,433900.0
H-533,2152,4,2.5,2014,3,Northhills,593200.0
H-534,1979,2,2.5,1975,0,Suburbs,428500.0
H-535,989,4,2.0,1988,2,Northhills,370400.0
H-536,1682,3,2.0,2021,1,Northhills,492100.0
H-537,3110,4,2.5,2008,0,Westside,692300.0
H-538,3951,3,2.0,2007,2,Westside,818200.0
H-539,1199,4,1.0,1989,1,Suburbs,344900.0
H-540,3611,3,2.0,1971,2,Downtown,728900.0
H-541,1408,2,2.5,1994,2,Suburbs,400000.0
H-542,4131,3,2.0,1970,0,Suburbs,753100.0
H-543,2595,5,1.0,2005,1,Eastside,558400.0
H-544,2438,4,2.5,2009,2,Eastside,591200.0
H-545,2375,1,1.5,1980,1,Suburbs,508600.0
H-546,3632,2,2.0,2022,2,Suburbs,760900.0
H-547,2948,2,1.5,1980,2,Suburbs,591900.0
H-548,2182,3,2.0,1964,2,Northhills,483700.0
H-549,2203,4,2.5,2007,2,Eastside,572500.0
H-550,1619,2,2.0,1979,2,Suburbs,395000.0
H-551,4092,3,1.5,1996,2,Westside,832300.0
H-552,1619,4,3.0,1962,1,Westside,453700.0
H-553,1219,3,3.0,2003,1,Northhills,409800.0
H-554,923,3,3.0,1992,2,Northhills,368300.0
H-555,1221,3,1.5,2012,2,Downtown,404900.0
H-556,4102,3,2.0,2020,2,Downtown,873700.0
H-557,3934,2,3.5,1968,2,Downtown,806300.0
H-558,2308,3,2.5,2020,3,Northhills,596300.0
H-559,2397,3,1.0,1968,3,Northhills,533800.0
H-560,1567,4,1.0,1963,2,Northhills,407400.0
H-561,2844,3,2.0,1994,1,Westside,638900.0
H-562,3330,4,3.0,1976,2,Northhills,714100.0
H-563,3366,2,2.0,1993,1,Westside,668300.0
H-564,3002,3,2.0,1983,2,Downtown,656900.0
H-565,2939,1,1.5,1991,2,Downtown,635700.0
H-566,3829,2,2.5,1960,2,Downtown,766800.0
H-567,2349,3,2.5,1967,1,Suburbs,500700.0
H-568,3302,5,2.0,2004,1,Suburbs,740400.0
H-569,2564,2,2.5,1982,2,Eastside,518800.0
H-570,2844,3,3.5,2006,1,Eastside,623100.0
H-571,3445,4,1.5,1999,3,Eastside,715100.0
H-572,1309,2,2.0,1971,1,Suburbs,340000.0
H-573,2006,3,2.0,2013,1,Suburbs,488000.0
H-574,1185,3,2.5,1971,0,Eastside,322700.0
H-575,2397,3,2.0,2005,2,Eastside,559100.0
H-576,3252,2,2.5,2006,2,Northhills,706500.0
H-577,3093,3,2.5,1974,1,Eastside,616300.0
H-578,1541,4,2.0,2000,0,Northhills,429100.0
H-579,3508,3,3.0,1978,2,Westside,716000.0
H-580,3497,1,2.0,1985,1,Suburbs,654300.0
H-581,2711,4,1.5,2011,2,Eastside,611700.0
H-582,2246,1,2.5,1988,2,Suburbs,513700.0
H-583,1700,3,2.5,1981,1,Suburbs,433300.0
H-584,2912,2,2.0,1999,1,Suburbs,617300.0
H-585,3884,5,3.0,1980,3,Westside,827500.0
H-586,3060,3,3.0,2010,2,Downtown,724100.0
H-587,2809,3,2.0,1997,2,Eastside,612300.0
H-588,1041,2,3.5,1979,1,Downtown,374500.0
H-589,3340,3,1.5,2016,2,Downtown,725900.0
H-590,4084,4,1.5,1988,0,Downtown,786400.0
H-591,3185,5,1.5,2010,2,Suburbs,716300.0
H-592,2820,3,3.0,1963,3,Northhills,648400.0
H-593,972,3,2.5,2014,1,Suburbs,384400.0
H-594,1471,3,1.5,1966,0,Suburbs,352000.0
H-595,963,4,2.0,1987,0,Downtown,338000.0
H-596,1264,3,2.5,1987,1,Suburbs,376600.0
H-597,3842,3,1.0,1963,1,Downtown,753100.0
H-598,1296,3,3.0,1981,0,Northhills,392400.0
H-599,1499,3,2.5,1971,2,Eastside,388400.0
H-600,3242,1,2.0,2004,2,Downtown,710300.0
H-601,1502,3,3.5,1962,1,Northhills,395100.0
H-602,2740,3,2.0,1981,3,Eastside,579100.0
H-603,3155,4,3.5,2003,1,Westside,708800.0
